Berufsgattung,Bezeichnung,Total (in T),Frauenanteil,Auslaenderanteil,Exposure,Proximity,Exp_Prox,ISCO_kurz,Orig_Source
7530.0,"Berufe der Bekleidungsherstellung und verwandte Berufe, onA",0.42319981760039377,37.62683633379761,39.789946637196245,10.148809523809524,60.77380952380952,35.461309523809526,75,0
7531.0,"Herren- und Damenschneider, Kürschner und Hutmacher",3.1125429176351243,86.27802484542529,30.90569616263913,12.0,63.0,37.5,75,1
7533.0,"Näher, Sticker und verwandte Berufe",2.400477874626059,91.84335793239651,39.322182481689225,13.5,47.5,30.5,75,1
7534.0,Polsterer und verwandte Berufe,0.4898998308931602,22.751946786155244,12.011751081988535,2.0,62.0,32.0,75,1
7536.0,Schuhmacher und verwandte Berufe,1.565459172697433,19.200328541884247,47.947444364134384,10.148809523809524,60.77380952380952,35.461309523809526,75,0
7541.0,Taucher,0.25102322266496246,6.532225889813333,,12.0,75.0,43.5,75,1
7543.0,Produkttester und -klassierer (ohne Nahrungsmittel und Getränke),7.28311123714044,50.86220972248614,38.341837200915734,4.0,65.0,34.5,75,1
7544.0,Kammerjäger und andere Schädlingsbekämpfungsberufe,0.22412451840534064,0.0,7.569448269071813,17.5,38.0,27.75,75,1
7549.0,"Handwerks- und verwandte Berufe, anderweitig nicht genannt",5.816500278730626,91.94487967525089,6.296090836018507,27.0,68.0,47.5,75,1
8100.0,"Bediener stationärer Anlagen und Maschinen, onA",24.785914201980155,21.646103483987147,48.884519156315356,10.8,56.06428571428571,33.43214285714286,81,0
8111.0,Bergleute und Grubenarbeiter,0.4858871215894528,27.451766415204403,17.729452413421185,8.333333333333334,53.285714285714285,30.80952380952381,81,1
8114.0,"Bediener von Maschinen zur Herstellung und Verarbeitung von Zement, Steinen und sonstigen Mineralien",0.5167853907525722,0.0,37.31991132905099,5.0,48.5,26.75,81,1
8120.0,"Bediener von Anlagen in der Metallerzeugung, -umformung und -veredlung, onA",1.3352997064643297,13.979384358497867,39.35082084281345,10.8,56.06428571428571,33.43214285714286,81,0
8121.0,Bediener von Anlagen in der Metallerzeugung und -umformung,2.529786424155632,9.48272763949791,65.89502189988315,5.0,59.0,32.0,81,1
8122.0,"Bediener von Anlagen zur Metallveredlung, Plattierung und Beschichtung von Metallen",1.440935233946611,9.142891065061562,49.728015106924836,9.5,66.5,38.0,81,1
8131.0,Bediener von Anlagen und Maschinen für chemische Erzeugnisse,5.346892875334325,24.441946935856222,35.39774616960865,15.0,51.0,33.0,81,1
8132.0,Bediener von Anlagen für fotografische Erzeugnisse,0.33517129362027764,65.76290458446377,0.0,41.0,58.0,49.5,81,1
8141.0,Bediener von Maschinen zur Herstellung von Gummiwaren,0.31893660313243527,9.479642243394224,36.431899441235295,11.333333333333334,61.333333333333336,36.333333333333336,81,1
8142.0,Bediener von Maschinen zur Herstellung von Kunststoffwaren,1.90607098263947,19.04584971705775,48.760456863010056,3.0,83.0,43.0,81,1
8143.0,Bediener von Maschinen zur Herstellung von Papierwaren,1.0356403787140838,47.4226290599468,45.777770874607526,10.8,56.06428571428571,33.43214285714286,81,0
8150.0,"Bediener von Maschinen zur Herstellung von Textil-, Pelz- und Lederwaren, onA",0.2852514115694452,,,10.8,56.06428571428571,33.43214285714286,81,0
8151.0,"Bediener von Spinnstoffaufbereitungs-, Spinn- und Spulmaschinen",0.23101850730994775,,49.7364866688195,5.0,64.0,34.5,81,1
